record_id,created_date,model_name,model_version,prompt_id,prompt_text,prompt_type,response_text,domain,task_type,language,hallucination_label,hallucination_type,hallucination_span,correct_information,correction_text,severity,domain_risk,annotator_type,annotation_confidence,mitigation_strategy,mitigation_applied,verified_source,intrinsic_or_extrinsic,notes
70b69889-3b46-4b1e-8f83-b95720bddbcd,2024-11-02,GPT-4o,gpt-4o-2024-11-20,PROMPT_00001,Who invented the telephone?,Multi-Hop,"The telephone was invented by Nikola Tesla in 1876, who famously demonstrated it at the Centennial Exposition in Philadelphia.",History,Question-Answering,English,1,Entity-Error,Nikola Tesla,Alexander Graham Bell,The telephone was invented by Alexander Graham Bell in 1876.,High,Low-Stakes,human_expert,0.73,RAG,True,PubMed,Extrinsic,
e93f6574-d3a1-4459-9ccc-8615bc2b627f,2024-09-24,Mistral-Large,mistral-large-2411,PROMPT_00002,What is the boiling point of water at sea level?,Multi-Hop,Water boils at 100 degrees Celsius (212 degrees Fahrenheit) at sea level under standard atmospheric pressure.,Science,Question-Answering,English,0,None,,,,None,Low-Stakes,human_expert,0.88,None,False,ArXiv,N/A,
fc732394-9369-4811-8484-e07f69cb6fab,2025-01-29,Mistral-Large,mistral-large-2411,PROMPT_00003,What is the recommended first-line treatment for Type 2 diabetes?,Ambiguous,"The first-line pharmacological treatment for Type 2 diabetes is insulin therapy, which should be initiated at diagnosis.",Medicine,Question-Answering,Spanish,1,Factual-Contradiction,"insulin therapy, which should be initiated at diagnosis",Metformin is the standard first-line drug,"Metformin is the recommended first-line pharmacological treatment for Type 2 diabetes, not insulin.",High,High-Stakes,human_expert,0.83,Self-Consistency,True,SEC-Filing,Extrinsic,
2e488a3d-bfc4-4d1e-b59b-eeca571c9c27,2024-10-26,Llama-3.1-70B,llama-3.1-70b-instruct,PROMPT_00004,When was Apple Inc. founded?,Ambiguous,"Apple Inc. was founded on April 1, 1976, by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Finance,Question-Answering,English,0,None,,,,None,Low-Stakes,human_crowd,0.86,CoT-Prompting,True,PubMed,N/A,
eb1c2d1e-9fb6-46f0-9f65-0f36494db9dc,2024-11-07,Gemini-1.5-Pro,gemini-1.5-pro-002,PROMPT_00005,Is it legal to record a phone call without consent in California?,Direct-Factual,"In California, you can legally record a phone call as long as one party to the call (including yourself) consents to the recording.",Law,Fact-Verification,French,1,Factual-Contradiction,one party to the call consents,California requires all-party consent under Penal Code 632,California is an all-party consent state; all parties must consent to recording under Penal Code Section 632.,High,High-Stakes,human_expert,0.95,Structured-Prompt,True,Snopes,Extrinsic,
fd4104c5-57f2-4b0e-8c71-1f71f9098231,2025-04-15,GPT-4o,gpt-4o-2024-11-20,PROMPT_00006,What does the acronym 'GPU' stand for?,Ambiguous,GPU stands for Graphics Processing Unit.,Technology,Question-Answering,English,0,None,,,,None,Low-Stakes,human_expert,0.9,Structured-Prompt,True,Wikipedia,N/A,
e7eede74-5728-4209-bdc8-44fc1261058f,2025-04-07,Claude-3.5-Sonnet,claude-3-5-sonnet-20241022,PROMPT_00007,Summarize the mechanism of action of Aspirin.,Multi-Hop,"Aspirin works by irreversibly inhibiting the enzyme cyclooxygenase (COX), thereby reducing the production of prostaglandins and thromboxanes, which are involved in inflammation and platelet aggregation.",Medicine,Summarization,Spanish,0,None,,,,None,High-Stakes,human_crowd,0.95,None,False,Reuters,N/A,
f00a071d-1557-4d21-bfe3-fdfea35530c2,2024-10-12,Llama-3.1-70B,llama-3.1-70b-instruct,PROMPT_00008,Tell me about the environmental impact of the construction of the Eiffel Tower.,Ambiguous,"The construction of the Eiffel Tower led to the extinction of the Parisian tiger, a species native to the Seine valley that could not adapt to the rapid urbanization.",History,Open-Generation,English,1,Unverifiability,"extinction of the Parisian tiger, a species native to the Seine valley",No such species exists,The 'Parisian tiger' does not exist. No tiger species is native to France.,High,Low-Stakes,llm_judge_claude,0.89,RAG,True,PubMed,Extrinsic,
b67606cb-8ce0-44e7-8489-8ab5c7dc92c7,2025-03-06,Mistral-Large,mistral-large-2411,PROMPT_00009,Who is the current CEO of Tesla?,Multi-Hop,The current CEO of Tesla is Elon Musk.,Technology,Question-Answering,English,1,Outdatedness,Elon Musk,Information may be outdated — verify with current sources,As of knowledge cutoff; requires real-time verification.,Low,Low-Stakes,human_crowd,0.89,Structured-Prompt,True,Reuters,Extrinsic,
232ba01f-e219-4ae5-8233-e24c7fffdbc3,2025-04-04,Mistral-Large,mistral-large-2411,PROMPT_00010,Is the Great Wall of China visible from space with the naked eye?,Direct-Factual,"Yes, the Great Wall of China is clearly visible from space with the naked eye and is one of the few man-made structures that can be seen from the Moon.",Science,Fact-Verification,English,1,Factual-Contradiction,clearly visible from space with the naked eye and is one of the few man-made structures that can be seen from the Moon,The Great Wall is not visible from space with the naked eye,Astronauts and NASA confirm the Great Wall is not visible from low Earth orbit with the naked eye due to its narrow width.,Medium,Low-Stakes,human_expert,0.78,RAG,True,LegalBench,Extrinsic,
